dataset,ESPRESSO,BOCD,Window,BinSeg,FLOSS,ClaSP
Adiac,0.421,0.303,0.608,0.948,0.971,0.982
ArrowHead,0.48,0.5,0.913,0.991,0.995,0.996
Beef,0.482,0.804,0.736,0.6920000000000001,0.935,0.848
BeetleFly,0.541,0.802,0.495,0.652,0.968,1.0
BirdChicken,0.505,0.485,0.925,0.469,0.478,0.48
CBF,0.435,0.619,0.7170000000000001,0.357,0.94,0.963
Car,0.293,0.256,0.528,0.7929999999999999,0.764,0.958
Chinatown,1.0,1.0,1.0,1.0,1.0,1.0
ChlorineConcentration,0.555,0.836,0.7440000000000001,0.53,1.0,1.0
CinCECGTorso,0.474,0.593,0.569,0.645,0.6759999999999999,0.575
Coffee,0.524,0.492,0.591,0.8170000000000001,0.988,0.994
Computers,0.499,0.938,0.841,0.95,0.494,0.975
CricketX,0.278,0.203,0.479,0.71,0.787,0.986
CricketY,0.246,0.208,0.515,0.8909999999999999,0.564,0.985
CricketZ,0.235,0.201,0.5479999999999999,0.687,0.733,0.935
Crop,0.287,0.244,0.5429999999999999,0.987,0.248,0.986
DiatomSizeReduction,0.522,0.332,0.5429999999999999,0.949,0.964,0.947
DistalPhalanxOutlineAgeGroup,0.7390000000000001,0.6679999999999999,0.573,0.894,0.934,0.93
DistalPhalanxTW,0.752,0.474,0.52,0.8290000000000001,0.745,0.958
DodgerLoopDay,1.0,1.0,1.0,1.0,1.0,1.0
ECG200,0.654,0.5720000000000001,0.7340000000000001,0.983,0.968,0.97
ECGFiveDays,0.732,0.523,0.726,0.495,0.97,0.95
EOGHorizontalSignal,0.373,0.962,0.638,0.623,0.408,0.922
EOGVerticalSignal,0.36,0.578,0.51,0.6609999999999999,0.342,0.662
FaceAll,0.171,0.266,0.6509999999999999,0.7020000000000001,0.3989999999999999,0.994
FaceFour,0.532,0.49,0.377,0.597,0.795,0.7040000000000001
FacesUCR,0.2239999999999999,0.183,0.482,0.725,0.653,0.929
FiftyWords,0.262,0.525,0.527,0.951,0.5710000000000001,0.991
Fish,0.2189999999999999,0.263,0.561,0.636,0.288,0.963
FreezerRegularTrain,0.2739999999999999,0.7070000000000001,0.5710000000000001,0.677,0.519,0.916
GunPoint,0.482,0.478,0.8109999999999999,0.733,0.988,0.993
Ham,0.251,0.261,0.615,0.5579999999999999,0.251,0.74
Haptics,0.424,0.542,0.598,0.726,0.38,0.924
Herring,1.0,1.0,1.0,1.0,1.0,1.0
InlineSkate,0.332,0.494,0.5870000000000001,0.564,0.579,0.6659999999999999
InsectWingbeatSound,0.249,0.25,0.513,0.985,0.69,0.98
ItalyPowerDemand,0.482,0.5,0.7509999999999999,0.993,0.975,0.986
LargeKitchenAppliances,0.326,0.354,0.505,0.67,0.923,0.6409999999999999
Lightning2,0.913,0.556,0.8220000000000001,0.44,0.688,0.993
Lightning7,0.358,0.422,0.535,0.3879999999999999,0.765,0.732
Mallat,0.471,0.6559999999999999,0.486,0.932,0.564,0.996
Meat,0.3289999999999999,0.326,0.506,0.623,0.991,0.996
MedicalImages,0.564,0.539,0.451,0.923,0.992,0.993
MelbournePedestrian,0.216,0.149,0.568,0.963,0.3989999999999999,0.987
MiddlePhalanxOutlineAgeGroup,0.289,0.3829999999999999,0.439,0.821,0.331,0.818
MiddlePhalanxOutlineCorrect,0.303,0.3339999999999999,0.7140000000000001,0.733,0.617,0.916
MiddlePhalanxTW,1.0,1.0,1.0,1.0,1.0,1.0
MoteStrain,0.4679999999999999,0.495,0.76,0.488,0.923,0.985
NonInvasiveFetalECGThorax1,0.2289999999999999,0.301,0.632,0.753,0.335,0.985
NonInvasiveFetalECGThorax2,0.162,0.254,0.5820000000000001,0.7929999999999999,0.414,0.99
OSULeaf,0.385,0.365,0.7609999999999999,0.687,0.7190000000000001,0.995
OliveOil,0.493,0.5820000000000001,0.608,0.4629999999999999,0.7290000000000001,0.983
Plane,0.292,0.146,0.491,0.96,0.872,0.992
ProximalPhalanxOutlineAgeGroup,0.335,0.376,0.528,0.882,0.68,0.884
ProximalPhalanxOutlineCorrect,0.395,0.292,0.6579999999999999,0.942,0.5489999999999999,0.8420000000000001
ProximalPhalanxTW,0.505,0.395,0.897,0.973,0.496,0.982
ShapeletSim,1.0,1.0,1.0,1.0,1.0,1.0
ShapesAll,0.286,0.4429999999999999,0.63,0.639,0.7859999999999999,0.984
SonyAIBORobotSurface1,0.54,0.511,0.993,0.8320000000000001,0.973,0.99
SonyAIBORobotSurface2,0.623,0.501,0.638,1.0,0.985,0.979
Strawberry,0.402,0.275,0.342,0.416,0.471,0.695
SwedishLeaf,0.252,0.252,0.816,0.99,0.501,0.997
Symbols,0.405,0.59,0.505,0.45,0.513,0.978
SyntheticControl,0.318,0.2,0.557,0.742,0.58,0.99
ToeSegmentation1,0.48,0.695,0.4679999999999999,0.947,0.994,1.0
ToeSegmentation2,0.469,0.664,0.544,0.894,0.99,0.997
Trace,0.332,0.5539999999999999,0.636,0.647,0.644,0.8959999999999999
TwoLeadECG,0.725,0.501,0.607,0.996,0.479,0.996
UMD,1.0,1.0,1.0,1.0,1.0,1.0
UWaveGestureLibraryAll,0.213,0.372,0.395,0.978,0.586,0.992
UWaveGestureLibraryX,0.324,0.201,0.356,0.643,0.3939999999999999,0.987
UWaveGestureLibraryY,0.3,0.201,0.618,0.716,0.588,0.963
UWaveGestureLibraryZ,0.414,0.201,0.511,0.883,0.602,0.873
WordSynonyms,0.7,0.743,0.467,0.988,0.8190000000000001,0.995
Yoga,0.5,0.64,0.835,0.541,0.991,0.995
