dataset,ESPRESSO,BOCD,Window,PELT,BinSeg,FLOSS,ClaSP
Adiac,0.408,0.303,0.303,0.303,0.303,0.809,0.816
ArrowHead,0.701,0.483,0.5,0.5,0.5,0.995,0.996
Beef,0.487,0.344,0.5,0.5,0.5,0.935,0.848
BeetleFly,0.6559999999999999,0.716,0.5,0.5,0.5,0.5,1.0
BirdChicken,0.4589999999999999,0.366,0.5,0.5,0.5,0.5,0.5
CBF,0.505,0.613,0.342,0.342,0.342,0.861,0.68
Car,0.3389999999999999,0.256,0.256,0.256,0.256,0.256,0.7609999999999999
Chinatown,0.367,1.0,1.0,1.0,1.0,0.7040000000000001,1.0
ChlorineConcentration,0.3979999999999999,0.664,0.5770000000000001,0.5770000000000001,0.5770000000000001,0.5770000000000001,0.5770000000000001
CinCECGTorso,0.496,0.551,0.337,0.337,0.337,0.337,0.828
Coffee,0.573,0.466,0.5,0.5,0.5,0.899,0.994
Computers,0.496,0.882,0.5,0.457,0.527,0.5,0.975
CricketX,0.408,0.211,0.203,0.769,0.769,0.203,0.986
CricketY,0.3289999999999999,0.208,0.2019999999999999,0.747,0.747,0.2019999999999999,0.985
CricketZ,0.24,0.201,0.2019999999999999,0.74,0.74,0.2019999999999999,0.935
Crop,0.287,0.244,0.125,0.987,0.987,0.125,0.986
DiatomSizeReduction,0.476,0.5670000000000001,0.342,0.342,0.342,0.7609999999999999,0.947
DistalPhalanxOutlineAgeGroup,0.407,0.6679999999999999,0.6679999999999999,0.6679999999999999,0.6679999999999999,0.934,0.93
DistalPhalanxTW,0.836,0.474,0.474,0.474,0.474,0.745,0.7390000000000001
DodgerLoopDay,0.773,0.254,1.0,1.0,1.0,1.0,1.0
ECG200,0.6729999999999999,0.5720000000000001,0.5720000000000001,0.983,0.983,0.968,0.97
ECGFiveDays,0.527,0.524,0.524,0.524,0.524,0.524,0.524
EOGHorizontalSignal,0.382,0.797,0.256,0.256,0.256,0.256,0.922
EOGVerticalSignal,0.439,0.664,0.17,0.17,0.17,0.17,0.662
FaceAll,0.177,0.266,0.143,0.76,0.797,0.3939999999999999,0.994
FaceFour,0.527,0.531,0.281,0.5720000000000001,0.586,0.5760000000000001,0.281
FacesUCR,0.221,0.183,0.152,0.7170000000000001,0.7759999999999999,0.64,0.929
FiftyWords,0.437,0.5329999999999999,0.278,0.975,0.951,0.584,0.991
Fish,0.222,0.263,0.144,0.144,0.144,0.144,0.963
FreezerRegularTrain,0.299,0.764,0.26,0.26,0.26,0.26,0.916
GunPoint,0.474,0.402,0.501,0.501,0.501,0.501,0.993
Ham,0.251,0.619,0.251,0.552,0.251,0.251,0.918
Haptics,0.4379999999999999,0.54,0.356,0.356,0.356,0.356,0.356
Herring,0.7020000000000001,0.307,1.0,1.0,1.0,1.0,1.0
InlineSkate,0.312,0.376,0.358,0.358,0.358,0.358,0.358
InsectWingbeatSound,0.325,0.25,0.25,0.992,0.985,0.792,0.98
ItalyPowerDemand,0.432,0.5,0.5,0.5,0.5,0.875,0.986
LargeKitchenAppliances,0.493,0.473,0.3329999999999999,0.3329999999999999,0.3329999999999999,0.3329999999999999,0.652
Lightning2,0.8170000000000001,0.556,0.556,0.556,0.556,0.556,0.556
Lightning7,0.358,0.446,0.215,0.377,0.3879999999999999,0.215,0.626
Mallat,0.503,0.626,0.267,0.267,0.267,0.564,0.996
Meat,0.313,0.401,0.3329999999999999,0.3329999999999999,0.3329999999999999,0.8029999999999999,0.58
MedicalImages,0.45,0.377,0.58,0.4639999999999999,0.923,0.58,0.993
MelbournePedestrian,0.246,0.149,0.149,0.7929999999999999,0.5870000000000001,0.377,0.987
MiddlePhalanxOutlineAgeGroup,0.361,0.387,0.25,0.25,0.25,0.25,0.818
MiddlePhalanxOutlineCorrect,0.37,0.3339999999999999,0.3339999999999999,0.618,0.618,0.618,0.818
MiddlePhalanxTW,0.754,0.575,1.0,1.0,1.0,1.0,1.0
MoteStrain,0.562,0.336,0.5,0.42,0.423,0.5,0.985
NonInvasiveFetalECGThorax1,0.25,0.305,0.1689999999999999,0.6579999999999999,0.6579999999999999,0.3329999999999999,0.985
NonInvasiveFetalECGThorax2,0.177,0.257,0.145,0.705,0.419,0.412,0.99
OSULeaf,0.391,0.365,0.365,0.745,0.745,0.695,0.995
OliveOil,0.614,0.682,0.382,0.382,0.382,0.755,0.754
Plane,0.357,0.145,0.15,0.441,0.15,0.96,0.992
ProximalPhalanxOutlineAgeGroup,0.315,0.376,0.376,0.675,0.675,0.6709999999999999,0.884
ProximalPhalanxOutlineCorrect,0.408,0.292,0.292,0.55,0.55,0.5379999999999999,0.7390000000000001
ProximalPhalanxTW,0.467,0.395,0.395,0.395,0.395,0.497,0.982
ShapeletSim,0.37,1.0,1.0,0.7859999999999999,0.7859999999999999,1.0,1.0
